_id,title,title_untranslated,description,release_date,language,post_image_url,backdrop_image_url,average_rating,tagline,minutes,budget,revenue,genre
80278,The Impossible,The Impossible,"In December 2004, close-knit family Maria, Henry and their three sons begin their winter vacation in Thailand. But the day after Christmas, the idyllic holiday turns into an incomprehensible nightmare when a terrifying roar rises from the depths of the sea, followed by a wall of black water that devours everything in its path. Though Maria and her family face their darkest hour, unexpected displays of kindness and courage ameliorate their terror.",2012-09-09,en,https://www.themoviedb.org/t/p/w300/k0DLCiDbnYywOHiISALbl2EH2NE.jpg,https://www.themoviedb.org/t/p/w300/iwOg44wpm278S89I17rQ8yyK02M.jpg,7.3,Nothing is more powerful than the human spirit.,113,45000000,198087212,Drama
3131,Gangs of New York,Gangs of New York,"It's 1863. America was born in the streets. Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.",2002-12-14,en,https://www.themoviedb.org/t/p/w300/lemqKtcCuAano5aqrzxYiKC8kkn.jpg,https://www.themoviedb.org/t/p/w300/a2Aj5ksEo2HOUH3FbGyZCtaJM4C.jpg,7.3,America was born in the streets.,167,100000000,193772504,Crime
9325,The Jungle Book,The Jungle Book,"The boy Mowgli makes his way to the man-village with Bagheera, the wise panther. Along the way he meets jazzy King Louie, the hypnotic snake Kaa and the lovable, happy-go-lucky bear Baloo, who teaches Mowgli ""The Bare Necessities"" of life and the true meaning of friendship.",1967-10-18,en,https://www.themoviedb.org/t/p/w300/fyKUxjaOP8KINir6MPFprsGtiT0.jpg,https://www.themoviedb.org/t/p/w300/3sbmRuIpYEH5dMvec4z4JxKQHoj.jpg,7.3,The Jungle is JUMPIN'!,78,4000000,205843612,Adventure
184,Jackie Brown,Jackie Brown,"Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan — with help from a bail bondsman — to keep the money for herself.",1997-04-10,en,https://www.themoviedb.org/t/p/w300/ewbLUXvm4riZL0aepy90o0vMesn.jpg,https://www.themoviedb.org/t/p/w300/c2P3mugpgPyZXFy0U5wAfpix008.jpg,7.3,Six players on the trail of a half million in cash. There's only one question... Who's playing who?,154,12000000,39673162,Crime
345920,Collateral Beauty,Collateral Beauty,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",2016-12-06,en,https://www.themoviedb.org/t/p/w300/oqtZbYtaUdDt1udekxRHlny5FA2.jpg,https://www.themoviedb.org/t/p/w300/svkdWRdho4tfTXUSEvCTBmD8y60.jpg,7.3,We are all connected,97,36000000,88528280,Drama
4232,Scream,Scream,"A killer known as Ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the 'rules' of horror films as they find themselves living in a real-life one.",1996-12-20,en,https://www.themoviedb.org/t/p/w300/aXAByjBN8UhaYvotqRCwa5MsMGu.jpg,https://www.themoviedb.org/t/p/w300/wT30bGBvr7vseeFNK9m4DFFC9jR.jpg,7.3,Someone has taken their love of scary movies one step too far.,112,14000000,173046663,Crime
12162,The Hurt Locker,The Hurt Locker,"Forced to play a dangerous game of cat-and-mouse in the chaos of war, an elite Army bomb squad unit must come together in a city where everyone is a potential enemy and every object could be a deadly bomb.",2008-10-10,en,https://www.themoviedb.org/t/p/w300/cL0GuOU6SILvXyAuyB671e2r1E8.jpg,https://www.themoviedb.org/t/p/w300/off0xgvtfHY82l3MC4mDpCk1APY.jpg,7.3,You'll know when you're in it.,131,15000000,49230772,Drama
861,Total Recall,Total Recall,"Construction worker Douglas Quaid discovers a memory chip in his brain during a virtual-reality trip. He also finds that his past has been invented to conceal a plot of planetary domination. Soon, he's off to Mars to find out who he is and who planted the chip.",1990-06-01,en,https://www.themoviedb.org/t/p/w300/wVbeL6fkbTKSmNfalj4VoAUUqJv.jpg,https://www.themoviedb.org/t/p/w300/e9zfOyNd3YaViIGadiqWg9x8pAq.jpg,7.3,"They stole his mind, now he wants it back.",113,65000000,261317921,Action
44264,True Grit,True Grit,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.",2010-12-22,en,https://www.themoviedb.org/t/p/w300/rxeRwN7dxHSLE0asOEIc1Q5Mcxy.jpg,https://www.themoviedb.org/t/p/w300/ivo5vhAftxFiEZtDyOhepiYR24G.jpg,7.3,Punishment Comes One Way or Another.,110,38000000,252276927,Adventure
10112,The Aristocats,The Aristocats,"When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children—Bonfamille’s beloved family of cats—the butler plots to steal the money and kidnaps the legatees, leaving them out on a country road. All seems lost until the wily Thomas O’Malley Cat and his jazz-playing alley cats come to the aristocats’ rescue.",1970-12-23,en,https://www.themoviedb.org/t/p/w300/1BVOSmQUhphMgnTxnXyfQ9tL1Sc.jpg,https://www.themoviedb.org/t/p/w300/rnMwOM8gMqo6Gf6XXMpaJEayUwk.jpg,7.3,A tune-filled animated extravaganza.,78,4000000,55675257,Adventure
